,USA360
1885-09-16,1.0107497289472127
1885-09-17,1.0088783893039381
1885-09-18,1.0166453955239712
1885-09-19,1.0224804856457248
1885-09-21,1.0110426240531685
1885-09-22,1.0130264131569318
1885-09-23,1.0150100109378657
1885-09-24,1.0092844815006858
1885-09-25,1.0054831996466762
1885-09-26,1.0055388455662189
1885-09-28,1.0191573817884911
1885-09-29,1.017286806228113
1885-09-30,1.0250518143621274
1885-10-01,1.025492340982553
1885-10-02,1.0158928547691042
1885-10-03,1.0333439694988933
1885-10-05,1.0431016705559542
1885-10-06,1.0450850440418296
1885-10-07,1.0624875185643916
1885-10-08,1.062544223377711
1885-10-09,1.0664491799136964
1885-10-10,1.0780468287686242
1885-10-12,1.078161899191771
1885-10-13,1.0839838705007119
1885-10-14,1.08788261030151
1885-10-15,1.0783417062388538
1885-10-16,1.0937736339898187
1885-10-17,1.107264316324673
1885-10-19,1.1169646004595546
1885-10-20,1.1285129914548562
1885-10-21,1.128573220038619
1885-10-22,1.1095050921751017
1885-10-23,1.1153141407606957
1885-10-24,1.1192048967048447
1885-10-26,1.104004445393003
1885-10-27,1.1174904470516378
1885-10-28,1.1232971810914103
1885-10-29,1.1176129979956897
1885-10-30,1.1310840008242433
1885-10-31,1.1426135807584952
1885-11-02,1.1408004414727766
1885-11-04,1.1332507573769055
1885-11-05,1.1486079556911737
1885-11-06,1.139103321270747
1885-11-07,1.1506283592409665
1885-11-09,1.1430847948163467
1885-11-10,1.1526950812934746
1885-11-11,1.168029017641398
1885-11-12,1.1680792588895539
1885-11-13,1.1757612361136585
1885-11-14,1.1662786107413978
1885-11-16,1.1740127662887037
1885-11-17,1.1874139516124733
1885-11-18,1.1893699688466992
1885-11-19,1.2008492380690454
1885-11-20,1.1932898747386511
1885-11-21,1.1781077147870807
1885-11-23,1.1629529932007372
1885-11-24,1.1916524055413473
1885-11-25,1.1878937617998313
1885-11-27,1.1708445459524468
1885-11-28,1.176621865325135
1885-11-30,1.1709740298391282
1885-12-01,1.1667514100824967
1885-12-02,1.168707200136454
1885-12-03,1.17066275964648
1885-12-04,1.1745372085658659
1885-12-05,1.1860844297448183
1885-12-07,1.172742486894617
1885-12-08,1.1746977947472557
1885-12-09,1.1728153857907888
1885-12-10,1.1555792906926448
1885-12-11,1.1575374399757403
1885-12-12,1.1402742530913628
1885-12-14,1.1326431291442676
1885-12-15,1.1500210923235203
1885-12-16,1.1673711081638716
1885-12-17,1.1597243355606779
1885-12-18,1.1655267926758548
1885-12-19,1.1597992501461096
1885-12-21,1.152181722026461
1885-12-22,1.1329787049024005
1885-12-23,1.134941312654983
1885-12-24,1.1484672299296412
1885-12-26,1.1677863317065182
1885-12-28,1.1582515571342782
1885-12-29,1.1755970470924788
1885-12-30,1.1775536230431756
1885-12-31,1.173748165290524
1886-01-02,1.1738167250463707
1886-01-04,1.17580607981148
1886-01-05,1.166237647815102
1886-01-06,1.1681940780939073
1886-01-07,1.166306121410526
1886-01-08,1.1605727360868607
1886-01-09,1.1644538336101242
1886-01-11,1.1549070940508412
1886-01-12,1.1530159785094936
1886-01-13,1.1395728427555387
1886-01-14,1.1473175197033232
1886-01-15,1.1261599018312287
1886-01-16,1.118470552544258
1886-01-18,1.108875389265905
1886-01-19,1.1185781994096904
1886-01-20,1.1166785832248642
1886-01-21,1.1244420480882995
1886-01-22,1.1186810071752962
1886-01-23,1.1032539796509981
1886-01-25,1.1013828884762311
1886-01-26,1.1110951779347975
1886-01-27,1.111127628002186
1886-01-28,1.1169628732060872
1886-01-29,1.1169954946423295
1886-01-30,1.1305609470625404
1886-02-01,1.1518061146993825
1886-02-02,1.153774026060575
1886-02-03,1.1596235215239528
1886-02-04,1.1596503676027385
1886-02-05,1.1693768920989638
1886-02-06,1.1577748015120963
1886-02-08,1.1791728597193878
1886-02-09,1.1888831471903072
1886-02-10,1.175366432263756
1886-02-11,1.1792684771937865
1886-02-12,1.181232532865062
1886-02-13,1.190942113083204
1886-02-15,1.1832582813144321
1886-02-16,1.1871581562020337
1886-02-17,1.1813788878754838
1886-02-18,1.16591274399442
1886-02-19,1.1620605435488172
1886-02-20,1.1543260027127962
1886-02-23,1.1602317435065679
1886-02-24,1.1602586036661091
1886-02-25,1.156403558338562
1886-02-26,1.1564303298729945
1886-02-27,1.1525735673373345
1886-03-01,1.148074331442649
1886-03-02,1.1655459289161516
1886-03-03,1.1655706129436325
1886-03-04,1.1559180507074416
1886-03-05,1.157879823657341
1886-03-06,1.1579043453314146
1886-03-08,1.154079360310034
1886-03-09,1.152165981676167
1886-03-10,1.1521903823420254
1886-03-11,1.1541530477192377
1886-03-12,1.1367359985148713
1886-03-13,1.1348187775291545
1886-03-15,1.1406919594978044
1886-03-16,1.1407161171658782
1886-03-17,1.1252144605183554
1886-03-18,1.127182038990911
1886-03-19,1.133036162470593
1886-03-20,1.133060158003568
1886-03-22,1.1292233724012934
1886-03-23,1.1059287165902556
1886-03-24,1.1020564987247146
1886-03-25,1.1098743438562508
1886-03-26,1.1079507008946499
1886-03-27,1.1118693043484906
1886-03-29,1.1080226931324466
1886-03-30,1.1158369434891997
1886-03-31,1.1217009072840085
1886-04-01,1.1224987522329297
1886-04-02,1.1051077618835634
1886-04-03,1.1051344358544737
1886-04-05,1.1071266174275571
1886-04-06,1.107153340127556
1886-04-07,1.1168730401857394
1886-04-08,1.1149632240768848
1886-04-09,1.1169273307198186
1886-04-10,1.1188911581830607
1886-04-12,1.1344375106174807
1886-04-13,1.1267300913113782
1886-04-14,1.1248220637408826
1886-04-15,1.1132353719797163
1886-04-16,1.1055105064610173
1886-04-17,1.1074766822695663
1886-04-19,1.1055909830626653
1886-04-20,1.1114365686079348
1886-04-21,1.1172790518008129
1886-04-22,1.1153685414254708
1886-04-24,1.115422384695882
1886-04-26,1.1135382380052392
1886-04-27,1.1116266543131037
1886-04-28,1.1000201834341314
1886-04-29,1.096164310429404
1886-04-30,1.0884234858551436
1886-05-01,1.0801645606910018
1886-05-03,1.064696577600874
1886-05-04,1.0744421770941563
1886-05-05,1.0880620412705178
1886-05-06,1.0764551907271793
1886-05-07,1.0861902774152394
1886-05-08,1.0920369782276764
1886-05-10,1.0940314536038334
1886-05-11,1.0921212340918571
1886-05-12,1.1037812708295789
1886-05-13,1.0999366290347086
1886-05-14,1.0883412090223539
1886-05-15,1.0903087064441226
1886-05-17,1.0942431346166057
1886-05-18,1.0865166863216782
1886-05-19,1.0846043106409637
1886-05-20,1.0943353138193235
1886-05-21,1.1001796959013126
1886-05-22,1.1098963494899134
1886-05-24,1.1060814812210409
1886-05-25,1.1061098150891213
1886-05-26,1.1177587586353128
1886-05-27,1.1274603039679938
1886-05-28,1.1178252400227866
1886-05-29,1.1294620599089924
1886-06-01,1.1328050443784325
1886-06-02,1.1251275064598494
1886-06-03,1.1193724550443411
1886-06-04,1.129053376010137
1886-06-05,1.1213721053230996
1886-06-07,1.1252939403541606
1886-06-08,1.123396188278343
1886-06-09,1.1350044423234105
1886-06-10,1.1253992057010525
1886-06-11,1.13314755500649
1886-06-12,1.1331790968671989
1886-06-14,1.137097990235633
1886-06-15,1.1371296420591417
1886-06-16,1.1487253250219276
1886-06-17,1.1526077764492622
1886-06-18,1.1564890139816628
1886-06-19,1.16614079995244
1886-06-21,1.1565946698994225
1886-06-22,1.1547027697800936
1886-06-23,1.1624329301086944
1886-06-24,1.1470801454238453
1886-06-25,1.1567424121486023
1886-06-26,1.1567746107867045
1886-06-28,1.1529902218713142
1886-06-29,1.1453214537295688
1886-06-30,1.1453465566655403
1886-07-01,1.1466442077877352
1886-07-02,1.14859193798706
1886-07-03,1.162068016540644
1886-07-06,1.146794914100596
1886-07-07,1.1525869055936275
1886-07-08,1.1449291076669557
1886-07-09,1.1449550489374223
1886-07-10,1.1469034899449897
1886-07-12,1.133500169615054
1886-07-13,1.137375475151526
1886-07-14,1.1393253767182308
1886-07-15,1.1489702608066474
1886-07-16,1.1489962936396798
1886-07-17,1.1509444398214295
1886-07-19,1.1452311960838826
1886-07-20,1.1510260326866644
1886-07-21,1.1548959838216766
1886-07-22,1.154922150916981
1886-07-23,1.1511056940734663
1886-07-24,1.1530538441670837
1886-07-26,1.158871364101844
1886-07-27,1.1588976212694633
1886-07-28,1.1666071781785434
1886-07-29,1.16087522052725
1886-07-30,1.1647426543417065
1886-07-31,1.172445794466856
1886-08-02,1.1801673326585629
1886-08-03,1.1744394442914248
1886-08-04,1.176381480456583
1886-08-05,1.180241260260306
1886-08-06,1.1840998103293026
1886-08-07,1.1764568861088534
1886-08-09,1.1707499869459803
1886-08-10,1.1765314132941598
1886-08-11,1.1708003963413869
1886-08-12,1.1689046919743407
1886-08-13,1.1670085602585136
1886-08-14,1.1670321242395802
1886-08-16,1.161318765519951
1886-08-17,1.1459718191879296
1886-08-18,1.1402223391612845
1886-08-19,1.1498720049191675
1886-08-20,1.1614366891030428
1886-08-21,1.1633816351005206
1886-08-23,1.1576650745490444
1886-08-24,1.1615330940275144
1886-08-25,1.1538699313857492
1886-08-26,1.1558163466268108
1886-08-27,1.1596852842916965
1886-08-28,1.161630830708235
1886-08-30,1.1597559257859251
1886-08-31,1.1540108853476825
1886-09-01,1.1500895486086828
1886-09-02,1.1539331073017318
1886-09-03,1.1654117439108922
1886-09-04,1.1635291003356645
1886-09-06,1.1693000834342757
1886-09-07,1.1674180911196417
1886-09-08,1.1731630874585097
1886-09-09,1.1693759223069202
1886-09-10,1.1732135814623958
1886-09-11,1.1789559665146068
1886-09-13,1.18281523272583
1886-09-14,1.1828399908309752
1886-09-15,1.182864749454345
1886-09-16,1.188602808816928
1886-09-17,1.192434600975563
1886-09-18,1.2019736662874283
1886-09-20,1.2096287388308862
1886-09-21,1.2134539390380839
1886-09-22,1.2134793384575202
1886-09-23,1.2116053794440624
1886-09-24,1.213530469859384
1886-09-25,1.2154553098770273
1886-09-27,1.2041112989692182
1886-09-28,1.2174451014006742
1886-09-29,1.2212685066878792
1886-09-30,1.2098997848178967
1886-10-01,1.1995985459237721
1886-10-02,1.2034152652132246
1886-10-04,1.2091495206191036
1886-10-05,1.2186509455260386
1886-10-06,1.2167788722635067
1886-10-07,1.211117125827215
1886-10-08,1.2130348529740602
1886-10-09,1.2092662195565222
1886-10-11,1.2036220971795488
1886-10-12,1.1979526432384975
1886-10-13,1.215057948546517
1886-10-14,1.222661036709151
1886-10-15,1.2226833125883128
1886-10-16,1.2227055888733227
1886-10-18,1.2189620698626757
1886-10-19,1.2227737977378759
1886-10-20,1.215219508250011
1886-10-21,1.2228236073542802
1886-10-22,1.2171632291560062
1886-10-23,1.2190806417316402
1886-10-25,1.2134402310181809
1886-10-26,1.2210463403457057
1886-10-27,1.2191738597265802
1886-10-28,1.2248813387756319
1886-10-29,1.2249036551068724
1886-10-30,1.2325026954845346
1886-11-01,1.2335551924068517
1886-11-03,1.2373702472089314
1886-11-04,1.2279521703457927
1886-11-05,1.2260823576126443
1886-11-06,1.2317702040565561
1886-11-08,1.2280318644177943
1886-11-09,1.2280512101252474
1886-11-10,1.235627794353617
1886-11-11,1.2280950355130098
1886-11-12,1.2318931361710488
1886-11-13,1.2319125427067554
1886-11-15,1.2357289416994408
1886-11-16,1.2395248298762438
1886-11-17,1.2376567553734916
1886-11-18,1.2414521546714858
1886-11-19,1.2414717117944702
1886-11-20,1.2377165241559014
1886-11-22,1.2377555207039224
1886-11-23,1.233998816308759
1886-11-24,1.2359070297145713
1886-11-26,1.2397229347069576
1886-11-27,1.2397424645888055
1886-11-29,1.2492211884037816
1886-11-30,1.237918724580918
1886-12-01,1.2437052147533503
1886-12-02,1.2456010457119377
1886-12-03,1.2531299874718327
1886-12-04,1.2493947398770895
1886-12-06,1.2475531867184966
1886-12-07,1.230672698585562
1886-12-08,1.2382122035693741
1886-12-09,1.2438676061906728
1886-12-10,1.2288587725916427
1886-12-11,1.2213526881497796
1886-12-13,1.2100942256086977
1886-12-14,1.1950376603560526
1886-12-15,1.1705249978940937
1886-12-16,1.1856723701815133
1886-12-17,1.1819119311332078
1886-12-18,1.1857075609942183
1886-12-20,1.1611878203075796
1886-12-21,1.1725638411389394
1886-12-22,1.1763630422867568
1886-12-23,1.1782704171214113
1886-12-24,1.1763969623246122
1886-12-27,1.1651035100476554
1886-12-28,1.1764767453138105
1886-12-29,1.1897289016954207
1886-12-30,1.2010766352978866
1886-12-31,1.2048688681323174
1887-01-03,1.2011549384247047
1887-01-04,1.1823078489703474
1887-01-05,1.18610679099033
1887-01-06,1.1917938896470817
1887-01-07,1.180482523482953
1887-01-08,1.1823918636430706
1887-01-10,1.1862099938852968
1887-01-11,1.184339435201842
1887-01-12,1.1900280946949418
1887-01-13,1.1824914012098866
1887-01-14,1.190071544952156
1887-01-15,1.1938685910014852
1887-01-17,1.1901300576016653
1887-01-18,1.1939272903416398
1887-01-19,1.1977233160651308
1887-01-20,1.19396681944744
1887-01-21,1.186431827046585
1887-01-22,1.1883407013617322
1887-01-24,1.1619245006366876
1887-01-25,1.1808875126347307
1887-01-26,1.1714509018405266
1887-01-27,1.167683986844341
1887-01-28,1.175276836189283
1887-01-29,1.1696189904259766
1887-01-31,1.1639818049694166
1887-02-01,1.15309777984472
1887-02-02,1.1605160872226556
1887-02-03,1.1547300692065783
1887-02-04,1.16214516040817
1887-02-05,1.1752068226684895
1887-02-07,1.1730613793469844
1887-02-08,1.1785756500105702
1887-02-09,1.1897277876154475
1887-02-10,1.1933514754361745
1887-02-11,1.1857071182956869
1887-02-12,1.1893317442010376
1887-02-14,1.1815535694730055
1887-02-15,1.156996797788854
1887-02-16,1.1832290714065568
1887-02-17,1.175583886966114
1887-02-18,1.1792106524723769
1887-02-19,1.182835261257788
1887-02-21,1.1806925954328829
1887-02-23,1.1898150581475395
1887-02-24,1.1953077967895467
1887-02-25,1.1970480000598271
1887-02-26,1.1875456305567145
1887-02-28,1.1816583084503347
1887-03-01,1.1732515743638177
1887-03-02,1.1843562264594876
1887-03-03,1.1879664738422808
1887-03-04,1.178490363097115
1887-03-05,1.182102420428803
1887-03-07,1.1893222958456113
1887-03-08,1.1891919265714836
1887-03-09,1.1834580494208804
1887-03-10,1.1795910870190187
1887-03-11,1.1794617844453434
1887-03-12,1.1774636305418325
1887-03-14,1.1715985221336374
1887-03-15,1.178948384115609
1887-03-16,1.1806872040098206
1887-03-17,1.176822742676995
1887-03-18,1.1785617161667898
1887-03-19,1.182167405107074
1887-03-21,1.1781750749194428
1887-03-22,1.1780459275639705
1887-03-23,1.1779167943651714
1887-03-24,1.1871197626007948
1887-03-25,1.1832604627314038
1887-03-26,1.190590893951052
1887-03-28,1.1959204780038062
