,0,1,2,3
1970-07-23,33.201015169721764,37.580666162148994,42.258128720105894,52.385981683114416
1970-07-24,33.161759807796145,37.51054074609712,42.150385703143655,52.18078967926892
1970-07-25,33.16842850141229,37.51838712907237,42.15954330748958,52.19296996222969
1970-07-26,33.17509853607532,37.526235153338966,42.16870290141913,52.20515308836884
1970-07-27,33.13593402667556,37.45657049462261,42.06191860653662,52.00238389815248
1970-07-28,33.02842299084596,37.27119756814968,41.78206072596642,51.47911496815877
1970-07-29,33.080698787869615,37.35687604861644,41.908026065393074,51.70803670503493
1970-07-30,33.11022829955103,37.40356971842744,41.975381456836466,51.82809180240237
1970-07-31,33.11692291557434,37.411711399562044,41.98516804577339,51.84178009842909
1970-08-01,33.123618885193984,37.41985485290642,41.99495691646023,51.85547200966605
1970-08-02,33.130316208683645,37.42800007884632,42.00474806942898,51.869167537068066
1970-08-03,33.114159305981765,37.39728827043893,41.95629824872976,51.77480734238986
1970-08-04,33.098029810489365,37.36663474333039,41.90795379619612,51.6807104042766
1970-08-05,33.05913614036756,37.297315013717686,41.801711178239785,51.47940479146478
1970-08-06,33.043091888200365,37.26684233370502,41.75369264464105,51.38611774315654
1970-08-07,33.00435235713108,37.19804816605212,41.648490749261356,51.18741935197264
1970-08-08,33.01108886192726,37.20618587604132,41.658212533951314,51.20086832050922
1970-08-09,33.01782674170867,37.21432536629392,41.66793658794554,51.21432082262411
1970-08-10,32.91124747888313,37.03088503067206,41.39165082176542,50.700467992897636
1970-08-11,32.82781268635861,36.88683062466764,41.17454809455025,50.2971445139866
1970-08-12,32.78965075735477,36.81953873500908,41.07218523128705,50.105529749424385
1970-08-13,32.751592064406715,36.752282148306925,40.969807990098474,49.91389902383678
1970-08-14,32.557626227182915,36.42264666411052,40.4775189134405,49.00998501623932
1970-08-15,32.56446778863942,36.43100890463231,40.48759947910962,49.02409720644535
1970-08-16,32.57131078776103,36.43937306503287,40.49768255525386,49.038213460188885
1970-08-17,32.48957761127424,36.299153844461124,40.28763455454691,48.65257825577882
1970-08-18,32.56279738564068,36.41881348509424,40.46245599639994,48.965172342990726
1970-08-19,32.63624620327736,36.53916458177418,40.63861643246075,49.28108326339102
1970-08-20,32.66534568332662,36.584965456044685,40.70426065020155,49.39635180491942
1970-08-21,32.7614619776362,36.74349300813767,40.93724423319426,49.81647626344777
1970-08-22,32.76828354232195,36.75200944514722,40.9476972500779,49.83154404147375
1970-08-23,32.775106527388296,36.76052785610354,40.95815293606065,49.84661637698656
1970-08-24,33.052142824613895,37.22371780055365,41.644109969854426,51.094918340141895
