,0.5,1.0,1.5,2.0,3.0,3.6
1990-05-29,193.41443029272247,149.09837338620932,140.47550131657476,120.08968552271448,65.57139523269701,37.83653411052372
1990-05-30,193.86894789116946,149.76771322786993,141.4076098643838,121.14425469115699,66.42866101661328,38.428643135696746
1990-05-31,194.1201540184494,150.12206739159086,141.89449707886314,121.69185934796688,66.87204001514831,38.73480644527901
1990-06-01,195.84318491307286,152.75301080796984,145.60950303970355,125.93130816231971,70.35940228744043,41.15716920419797
1990-06-02,195.88804105076798,152.78833232608542,145.6444892134476,125.96270473503961,70.37821619884657,41.16862104557982
1990-06-03,195.93290746236204,152.82366201169725,145.6794837934586,125.99410913539819,70.39703514104109,41.18007607339731
1990-06-04,195.97778415020818,152.85899986669392,145.71448678175634,126.025521365347,70.41585911536919,41.19153428853706
1990-06-05,195.70585405731362,152.40016503110678,145.04289330340157,125.24211518963807,69.75178026683382,40.723616922002805
1990-06-06,195.85614522778135,152.59991331661857,145.31271237395802,125.54393101412073,69.99654169867367,40.89337496924428
1990-06-07,195.90097750431227,152.63528304995168,145.34780638928888,125.57547177706321,70.01548870776911,40.904921465749304
1990-06-08,195.94584687888587,152.67066098131068,145.3828889694064,125.60698605984345,70.03440248088306,40.91644208472652
1990-06-09,195.99072653039022,152.70604711259568,145.41798001740148,125.63850825141355,70.05332136330668,40.92796594841506
1990-06-10,196.0356164611791,152.74144144570727,145.453079535318,125.67003835375831,70.07224535642018,40.93949305772876
1990-06-11,195.86945430002817,152.44794485944496,145.01837995504675,125.16036417362028,69.63851341886404,40.633664433189395
1990-06-12,195.91428962306043,152.48336290252465,145.05356181133448,125.19201431502638,69.65755430554678,40.64527564195757
1990-06-13,196.8101011957207,153.8418437491075,146.97587959978887,127.39487977192671,71.48834608651097,41.925392761593265
1990-06-14,197.06894953505295,154.21157404497256,147.49003930094577,127.9800304240942,71.97325821827246,42.264863807278935
1990-06-15,196.263695038322,152.91628386720728,145.6160506755868,125.80279629461398,70.12893225040034,40.96340726167383
1990-06-16,196.3087281464301,152.95172692916665,145.65113815957835,125.83426422694743,70.14776138837443,40.97485681457476
1990-06-17,196.35377158747738,152.98717820614806,145.6862340982116,125.86574003057461,70.16659558184311,40.98630956770415
1990-06-18,195.97676180281175,152.3649859759501,144.78195812801295,124.81513063116131,69.28058994690366,40.36351292436806
1990-06-19,195.9165187296759,152.23687360659815,144.58398289170853,124.57873329282987,69.07641075712543,40.2190508345049
1990-06-20,195.54229362655977,151.62092259706407,143.691171954434,123.54422365238001,68.20866447268259,39.61106116837185
1990-06-21,195.90193880351995,152.14438039448243,144.42003862392323,124.3710426250696,68.88615225611163,40.081506933073086
1990-06-22,196.0520859168113,152.3432524060254,144.68788911811802,124.6698066187405,69.12706580531724,40.248018112751076
1990-06-23,196.09707047077168,152.3787713396686,144.72314935849354,124.70150349012192,69.14609942206638,40.25960954196756
1990-06-24,196.1420653465304,152.41429855457545,144.75841819174133,124.73320842032436,69.1651382795785,40.27120430951566
1990-06-25,195.454828995085,151.3115911842597,143.17197448060324,122.90168007685578,67.63436168505956,39.19993476678959
1990-06-26,195.7090097672177,151.67060767881995,143.66617329619152,123.45853193251162,68.08677121990551,39.5129052527607
1990-06-27,196.17433435447575,152.35697889994768,144.62586738858656,124.54924479036576,68.98169639178144,40.134421030314925
1990-06-28,196.7482095244487,153.21347255626645,145.82984372404317,125.92276210799402,70.1153545043213,40.92418440779207
1990-06-29,197.21906804707334,153.9118903468681,146.81136165060445,127.04381183628412,71.04416508987643,41.57297277561539
1990-06-30,197.2643203674814,153.94743766839204,146.84649582167344,127.07527693379097,71.06294799927691,41.58438085493924
1990-07-01,197.30958307112735,153.9829931998864,146.88163840087898,127.10674982429731,71.08173587456989,41.59579206476508
1990-07-02,197.3549372465237,154.01855694324738,146.91672902791615,127.13812603843202,71.10041187037913,41.60711751631411
1990-07-03,197.72129431842802,154.55526953097927,147.668937811758,127.99697039172337,71.81324235568593,42.10590261170478
1990-07-04,197.7665806203596,154.59083841492614,147.7040951561302,128.02846115320602,71.83205152272485,42.117332345487696
1990-07-05,197.59777596693493,154.2916966087958,147.25954924121567,127.50554721421791,71.38427502563644,41.80047355347122
1990-07-06,196.68836283064556,152.83631931936173,145.16020590125927,125.07280296014986,69.33366187542478,40.3577499453814
1990-07-07,196.73370892854203,152.87195321189347,145.19542216491013,125.10432815980009,69.35244844846447,40.36914299347558
1990-07-08,196.7790654808882,152.90759541249164,145.23064697212303,125.13586130552805,69.3712401118934,40.38053925784284
1990-07-09,196.1940732501342,151.9635600284024,143.87011142327393,123.56386584463729,68.05660481603603,39.46051817185958
1990-07-10,196.2395203977871,151.99924023962004,143.90533003822097,123.5953492405922,68.07530639812656,39.47183523224924
1990-07-11,196.28409096283085,152.03492882835573,143.94120780543597,123.62795809574799,68.09524407005519,39.4840833967928
1990-07-12,197.06772658567783,153.2143527410241,145.60080177740488,125.5196816754109,69.65094163305984,40.56485762321047
1990-07-13,197.64464977063838,154.0770975011754,146.81529344933904,126.90686499520892,70.79823717349323,41.364975421869374
1990-07-14,197.68967484633268,154.1127674045695,146.8508307950274,126.93892201699676,70.81761455402373,41.376820537571
1990-07-15,197.7347101791093,154.14844556579055,146.88637674270066,126.97098713647613,70.83699723811674,41.388669045194526
1990-07-16,197.88629477171966,154.3507061892158,147.16024274803934,127.27785499885127,71.08645348688015,41.56185514190157
1990-07-17,197.93099538816878,154.3863971470305,147.1960651797329,127.31038931082767,71.10635769385644,41.57410051697541
1990-07-18,197.33748471232903,153.42659645915535,145.808253012288,125.70121473346072,69.75088030415134,40.621371154552435
1990-07-19,197.27625567106926,153.2975914606113,145.6092938660163,125.46386238219124,69.54611771848899,40.47659383439834
1990-07-20,197.63944267730918,153.82847792578892,146.3507455176273,126.30710689380228,70.2401128556393,40.95962785522594
1990-07-21,197.68403338444475,153.86421670641388,146.38673176258678,126.33987753222102,70.26024194003574,40.97203245046735
1990-07-22,197.72863415197685,153.89996379018567,146.42272685621882,126.37265667304925,70.28037679293145,40.98444080243194
