Date,SPXL,TQQQ,TECL,TPOR,DRN,UTSL,FAS,DPST,CURE,WEBL,LABU,SOXL,NAIL,YINN,HIBL,XLE,KWEB
2018-09-28,53.163837,17.748287,16.471514000000003,38.080059000000006,19.060085,24.073351000000002,68.065758,129.270218,65.663216,37.06668396535785,92.49740600000001,10.168984,42.469353000000005,461.857666,47.55069905442691,61.682793000000004,43.803284000000005
2018-10-01,53.721706000000005,17.850573999999998,16.712854,38.454681,18.596054000000002,23.837868,68.08512900000001,125.95461999999999,66.777,36.30417762761394,88.770088,10.253829,41.803444,467.475861,48.00599666817239,62.537926,43.686638
2018-10-02,53.633617,17.748287,16.705961,37.087971,18.359663,24.824173000000002,67.736755,124.30626699999999,66.520729,34.88895131698145,84.714745,10.270273,41.733868,436.28488200000004,47.45613161800054,62.603085,42.385643
2018-10-03,53.751064,17.800678,16.85865,37.786076,17.860617,23.801643,68.714104,133.419434,66.05746500000001,35.57776227088769,89.545357,10.287374,40.282768,426.59832800000004,48.178006736568165,63.108006,42.726593
2018-10-04,52.468952,16.785277999999998,15.982915,37.245289,17.344061,24.26355,68.752808,134.423569,64.046776,33.18866461326691,80.699173,9.734232,38.163776,397.53851299999997,46.41071018473241,62.847404000000004,40.869305
2018-10-05,51.666405,16.154085000000002,15.349506,36.360371,17.387842000000003,25.377546,67.833519,130.615387,63.86936600000001,32.11212700272018,77.429062,9.046917,37.330887,400.05703700000004,44.28159561022061,62.839264,40.330963
2018-10-08,51.539169,15.864683,14.830371,36.330872,18.105762,26.102107999999998,68.259315,134.199997,63.58353,30.37243587429353,74.367676,8.72595,38.473873,392.888916,43.566700484880634,62.79039399999999,40.043846
2018-10-09,51.343422,15.986932000000001,14.978132,34.246395,18.272114000000002,26.274187,67.833519,132.26371799999998,64.007347,30.168823804329087,72.061699,8.718714,35.482234999999996,387.46441699999997,42.63314073875619,63.352332999999994,39.388859000000004
2018-10-10,46.479206,13.913719,12.905525,30.106935999999997,17.52792,25.911909,61.775925,126.466125,59.532551,25.44725169624893,64.517593,7.561789,33.69619,358.985779,37.321005030518265,61.365185,37.809711
2018-10-11,43.327746999999995,13.349885,12.346,28.681232,16.013271,24.363176,56.753735,115.003693,54.67335500000001,24.774289308802285,62.450165000000005,7.321064,32.232182,348.911682,35.16179790132256,59.28846,37.836632
2018-10-12,45.187302,14.477552,13.496573000000001,29.654644,15.881941000000001,24.354118,57.653659999999995,107.879883,57.10788,26.915629298004227,66.16755699999999,7.728849,31.218401,373.70944199999997,36.75992607349832,59.451351,39.658035
2018-10-15,44.38475,13.931182999999999,12.83854,30.136435,16.109576999999998,24.731792000000002,56.947266000000006,108.37248999999998,55.846268,26.29787250025232,63.354664,7.522327000000001,31.258159999999997,358.210876,35.89126475192607,58.954558999999996,38.760788
2018-10-16,47.193668,15.131201,13.995022,31.789267,17.098917,25.594919,60.072844999999994,109.281906,60.715317000000006,29.00816235982329,73.403542,8.258969,33.174397,377.39035,38.611110002660915,59.443211,39.559329999999996
2018-10-17,47.252392,15.181097,13.814754,31.453985,16.967586999999998,25.314152,61.09855699999999,111.44178000000001,61.602394,29.301833082802084,72.936378,8.154392999999999,30.910294,364.410339,38.57775744078222,59.068565,38.572371999999994
2018-10-18,45.265602,14.128275,12.96069,28.612403999999998,16.862528,25.450004999999997,58.679390000000005,104.62114,59.433987,26.990437720813137,68.44371,7.54403,28.952310999999998,335.737946,35.74183049649509,58.775379,37.127815000000005
2018-10-19,45.079643,14.070894000000001,12.96069,28.917209999999997,17.247757,26.717073,59.289021,99.799309,57.679545999999995,26.040284345857827,63.603156999999996,7.188203999999999,26.86512,354.723724,34.64042335392184,58.254166000000005,37.109867
2018-10-22,44.551136,14.282956,13.270988000000001,28.828718,16.538582,26.047767999999998,56.666641000000006,90.69564100000001,56.250374,26.69346424066734,59.309265,7.328299,25.225187,382.03988599999997,33.8581869669923,57.61079399999999,38.545452000000004
2018-10-23,43.787746000000006,14.125779000000001,13.125195999999999,27.137543,16.731199,25.694544,55.689293000000006,90.960899,55.392872,26.370219435355814,59.080654,7.210567999999999,26.825363,367.12255899999997,32.72076579833579,56.10416,37.540543
2018-10-24,39.82394,12.204754,11.386533,24.76792,17.203979,27.388191,52.079899,79.11949200000001,49.981716,22.554987315233817,45.880939,5.784633,24.459882999999998,335.156708,27.920790901054,53.88898100000001,35.566612
2018-10-25,42.006474,13.457163000000001,12.486866000000001,26.018608,17.965677,26.111162,54.81839,85.693848,51.755856,24.972349167531974,51.616058,6.177948000000001,26.44768,355.111176,29.681348927880276,54.548637,36.948364
