,QQQ,QLD,TQQQ
1991-05-10,5.811293248229444,0.5032163624855681,1.1009232215716034
1991-05-13,5.817348706193437,0.503984244950342,1.1032255296222466
1991-05-14,5.75463146299495,0.49302282090852506,1.0671601150977568
1991-05-15,5.582050911021184,0.46335690468088553,0.9707678131795924
1991-05-16,5.63784763083225,0.47253275375012127,0.999538800316376
1991-05-17,5.632873504647542,0.4716111724801298,0.9965489744020045
1991-05-20,5.5930804951698825,0.4646838764084814,0.9743943397482854
1991-05-21,5.649958546760233,0.47404901738952354,1.003787277888016
1991-05-22,5.745980808760674,0.4900751304096429,1.0546247329559957
1991-05-23,5.778204495783345,0.49548216127159744,1.0720104476045003
1991-05-24,5.828378290342135,0.5039968495601971,1.0995752041500186
1991-05-28,5.912289636414593,0.5181234435688611,1.1455041577766047
1991-05-29,5.933483739288565,0.5217418903545624,1.1574287161997723
1991-05-30,5.995768449775338,0.532597873390623,1.1934760786586867
1991-05-31,6.0338313284061424,0.5392592164039847,1.215786161447037
1991-06-03,6.075787001442372,0.5464505492931121,1.2398576565346822
1991-06-04,6.079896062203652,0.5470856292144654,1.2419346714599926
1991-06-05,5.998579912401476,0.5323485593458879,1.1916697237967802
1991-06-06,5.930239743950711,0.5201194352610551,1.150528278779186
1991-06-07,5.851518790418817,0.5062153128426441,1.1043190443732969
1991-06-10,5.804156458486168,0.49773691738226616,1.0763557014760332
1991-06-11,5.822971631445714,0.500871460956772,1.086452599510365
1991-06-12,5.7373301545264015,0.4860469141164594,1.038148513978174
1991-06-13,5.726516836733559,0.4841244949162473,1.0319211040039182
1991-06-14,5.791613009846471,0.4950421974316433,1.0667613364781485
1991-06-17,5.786638883661762,0.4939098929494907,1.0628843440055251
1991-06-18,5.741439215287682,0.4861018415812008,1.0376098601990336
1991-06-19,5.628764443886261,0.4669320808314448,0.9761632029851953
1991-06-20,5.63503616820611,0.4678858837593048,0.9790900321768516
1991-06-21,5.628980710242118,0.466793896777081,0.9755985800984667
1991-06-24,5.425690335736678,0.4328157570128856,0.8688831338882003
1991-06-25,5.428285532006961,0.4331481013134387,0.8698254706824364
1991-06-26,5.459644153606204,0.4380728545698464,0.8846034413207593
1991-06-27,5.520198733246122,0.44770764026492094,0.913727202136156
1991-06-28,5.497274499525297,0.44389435151348766,0.9019814102773126
1991-07-01,5.603893812962724,0.4608440703211716,0.9534436758689089
1991-07-02,5.538365107138098,0.44997698906870365,0.9196525893038172
1991-07-03,5.459211620894491,0.43703164313311077,0.8799062718945192
1991-07-05,5.4492633685250755,0.43527720680815785,0.8744927879756907
1991-07-08,5.599784752201445,0.45907709748014386,0.9460386557212652
1991-07-09,5.637631364476395,0.46519686671500643,0.964892943893076
1991-07-10,5.694725682422604,0.4745337785114862,0.9938798039223167
1991-07-11,5.70597153292716,0.47631892515587076,0.9994218083266077
1991-07-12,5.783827421035627,0.4892287107410913,1.039987307949459
1991-07-15,5.815402308990728,0.4942908110647417,1.0559161792710021
1991-07-16,5.719812579702,0.47794772021649584,1.0034762448879264
1991-07-17,5.696023280557746,0.4738828777778613,0.9906083264411842
1991-07-18,5.757875458332807,0.48408596518061836,1.0225355635459366
1991-07-19,5.772797836886929,0.48650573458497454,1.0301358128366083
1991-07-22,5.716784850720003,0.47679277367398387,0.9990821694680595
1991-07-23,5.608219140079865,0.45859560977914177,0.9418210485090689
1991-07-24,5.5766442521247646,0.4533485473418911,0.9255972909370719
1991-07-25,5.648877214980953,0.4650081981351639,0.9612441416821547
1991-07-26,5.714189654449722,0.47567507298115885,0.9942564612525865
1991-07-29,5.723056575039851,0.4768858525948246,0.9978560842925731
1991-07-30,5.824269229580858,0.49366531113239664,1.0504560894057655
1991-07-31,5.885688874644203,0.5039846631354782,1.0833235294219647
1991-08-01,5.930888543018286,0.511630869320724,1.1079047320252353
1991-08-02,5.9574893047886786,0.5161262676127386,1.1224347027375199
1991-08-05,5.885905141000062,0.5034352825530772,1.080814113268692
1991-08-06,5.941701860811128,0.5128878579039952,1.1111846671035421
1991-08-07,5.9806298048653606,0.5195060836368371,1.1326118251325408
1991-08-08,6.028640935865582,0.5277516747714459,1.1595037847556735
1991-08-09,6.015448688158314,0.5253468166884181,1.151505282331044
1991-08-12,6.060864622888253,0.5329922892375207,1.1764214023773631
1991-08-13,6.108875753888475,0.5413396698857555,1.203982993096145
1991-08-14,6.157751950312123,0.5499045833594136,1.2324808759143357
